time,zone,veh,activation
9360,335,38747,1
9360,335,38773,1
9360,335,38901,1
9360,335,38947,1
9360,335,39040,1
9360,335,39130,1
9360,335,39217,1
9360,335,39290,1
9360,335,39374,1
9360,335,39421,1
9360,335,39440,1
9360,335,39453,1
9360,335,39498,1
9360,335,39542,1
9360,335,39610,1
9360,335,39633,1
9360,335,39637,1
9360,335,39713,1
9360,335,39864,1
9360,335,39956,1
9360,335,39972,1
9360,335,39993,1
9360,335,40019,1
9360,335,40043,1
9360,335,40045,1
9360,335,40159,1
9360,335,40163,1
9360,335,40187,1
9360,335,40240,1
9360,335,40244,1
9360,335,40247,1
9360,335,40317,1
9360,335,40321,1
9360,335,40324,1
9360,335,40368,1
9360,335,40378,1
9360,335,40421,1
9360,335,40428,1
9360,335,40437,1
9360,335,40454,1
9360,335,40455,1
9360,335,40475,1
9360,335,40530,1
9360,335,40539,1
9360,335,40543,1
9360,335,40577,1
9360,335,40615,1
9360,335,40650,1
9360,335,40730,1
9360,335,40761,1
9360,335,40771,1
9360,335,40781,1
9360,335,40805,1
9360,335,40888,1
9360,335,40894,1
9360,335,40903,1
9360,335,40929,1
9360,335,41001,1
9360,335,41002,1
9360,335,41018,1
9360,335,41035,1
9360,335,41036,1
9360,335,41044,1
9360,335,41039,1
9360,335,41078,1
9360,335,41090,1
9360,335,41131,1
9360,335,41134,1
9360,335,41235,1
9360,335,41241,1
9360,335,41243,1
9360,335,41252,1
9360,335,41277,1
9360,335,41330,1
9360,335,41342,1
9360,335,41426,1
9360,335,41427,1
9360,335,41453,1
9360,335,41442,1
9360,335,41473,1
9360,335,41545,1
9360,335,41546,1
9360,335,41574,1
9360,335,41633,1
9360,335,41644,1
9360,335,41692,1
9360,335,41734,1
9360,335,41746,1
9360,335,41792,1
9360,335,41845,1
9360,335,41846,1
9360,335,41869,1
9360,335,41911,1
9360,335,41955,1
9360,335,41959,1
9360,335,41961,1
9360,335,41964,1
9360,335,41995,1
9360,335,42013,1
9360,335,42109,1
9360,335,42111,1
9360,335,42137,1
9360,335,42138,1
9360,335,42259,1
9360,335,42289,1
9360,335,42332,1
9360,335,42317,1
9360,335,42330,1
9360,335,42342,1
9360,335,42334,1
9360,335,42346,1
9360,335,42351,1
9360,335,42389,1
9360,335,42423,1
9360,335,42441,1
9360,335,42446,1
9360,335,42454,1
9360,335,42478,1
9360,335,42481,1
9360,335,42485,1
9360,335,42499,1
9360,335,42508,1
9360,335,42522,1
9360,335,42527,1
9360,335,42555,1
9360,335,42558,1
9360,335,42559,1
9360,335,42563,1
9360,335,42565,1
9360,335,42572,1
9360,335,42624,1
9360,335,42633,1
9360,335,42635,1
9360,335,42636,1
9360,335,42637,1
9360,335,42645,1
9360,335,42649,1
9360,335,42662,1
9360,335,42674,1
9360,335,42698,1
9360,335,42699,1
9360,335,42711,1
9360,335,42712,1
9360,335,42727,1
9360,335,42781,1
9360,335,42817,1
9360,335,42827,1
9360,335,42826,1
9360,335,42844,1
9360,335,42829,1
9360,335,42872,1
9360,335,42876,1
9360,335,42896,1
9360,335,42930,1
9360,335,42940,1
9360,335,42948,1
9360,335,42955,1
9360,335,42998,1
9360,335,43061,1
9360,335,43065,1
9360,335,43084,1
9360,335,43096,1
9360,335,43101,1
9360,335,43103,1
9360,335,43105,1
9360,335,43113,1
9360,335,43127,1
9360,335,43139,1
9360,335,43142,1
9360,335,43149,1
9360,335,43152,1
9360,335,43170,1
9360,335,43171,1
9360,335,43174,1
9360,335,43180,1
9360,335,43183,1
9360,335,43194,1
9360,335,43215,1
9360,335,43216,1
9360,335,43223,1
